,cod_dep,montant,cat_nat,mesure1,Inondations,Mouvements de Terrain,Climatique,Autre,prix_moyen_m2
0,01,2546704807.0684686,0,0.0,0.0,0.0,0.0,0.0,181.93123474285437
1,02,582511049.6978946,0,0.0,0.0,0.0,0.0,0.0,55.24857214532269
2,03,302189796.7012576,0,0.0,0.0,0.0,0.0,0.0,37.64089270038449
3,04,258196366.83519718,0,0.0,0.0,0.0,0.0,0.0,51.260845302676955
4,05,782221228.2911247,0,0.0,0.0,0.0,0.0,0.0,199.1343892781553
5,06,25359274388.96702,0,0.0,0.0,0.0,0.0,0.0,1054.7048244850466
6,07,487359997.86563784,0,0.0,0.0,0.0,0.0,0.0,75.64265022842693
7,08,237192058.6206788,0,0.0,0.0,0.0,0.0,0.0,41.06362622356933
8,09,201722352.20906892,0,0.0,0.0,0.0,0.0,0.0,58.909548325407535
9,10,1167256842.8779964,177,12540483.22849198,0.0,20.0,147.0,10.0,76.81785267348162
10,11,1228807065.003906,285,21257056.966683656,0.0,86.0,174.0,25.0,68.61036216788234
11,12,678689691.9922098,182,7497512.834147628,0.0,41.0,118.0,23.0,46.38226518570087
12,13,39412664629.978325,259,619598187.5061843,0.0,60.0,168.0,31.0,560.9750491449926
13,14,1779271915.2280114,269,29051541.438320797,0.0,45.0,192.0,32.0,61.90138704741794
14,15,163797782.25395557,85,845087.1922055371,0.0,15.0,51.0,19.0,26.161918313328123
15,16,1097994467.942694,146,9730330.338065755,0.0,49.0,80.0,17.0,67.96569918178567
16,17,4186756448.322095,122,31003598.585450415,0.0,41.0,69.0,12.0,139.29094576252626
17,18,568477349.0768825,137,4727247.151656019,0.0,45.0,89.0,3.0,44.36000042706551
18,19,413900560.353059,109,2738401.279422363,0.0,33.0,57.0,19.0,39.843904553450265
19,2.1,1124970721.656784,95,6486932.841116509,0.0,14.0,77.0,4.0,220.71022940586244
20,2.2,443631120.0121768,121,3258231.5946266097,0.0,17.0,90.0,14.0,79.0494123263417
21,21,1846273068.889331,224,25102589.82890502,0.0,13.0,202.0,9.0,82.8475287742119
22,22,128051820902.59575,208,1616678527.9356549,0.0,19.0,172.0,17.0,4497.181134692651
23,23,182336177.47131386,125,1383430.7850630793,0.0,13.0,105.0,7.0,27.128597301350812
24,24,1491165669.8452444,292,26429157.85097489,0.0,61.0,200.0,31.0,75.32947311641252
25,25,2384204345.7113442,187,27061985.59320312,0.0,16.0,157.0,14.0,104.68651435018865
26,26,3268111991.768169,265,52567506.999609396,1.0,44.0,186.0,34.0,144.9718098609475
27,27,2694564869.4657373,325,53155300.91510559,0.0,42.0,218.0,65.0,109.1022117782089
28,28,795133807.3334413,193,9314769.336288568,0.0,38.0,126.0,29.0,46.37563285646741
29,29,4426892811.603794,153,41111660.1016923,0.0,29.0,111.0,13.0,109.9935869876298
30,30,5178455460.278602,232,72922711.18571384,0.0,63.0,157.0,12.0,165.4897383377043
31,31,11575063594.80033,392,275412742.2859927,1.0,146.0,207.0,38.0,209.72562850748025
32,32,487192553.50002074,313,9255919.225827405,0.0,100.0,198.0,15.0,46.57479973629587
33,33,27251936517.136215,317,524361995.5042295,0.0,90.0,186.0,41.0,415.0091708245811
34,34,7293630920.701679,246,108906416.17557591,0.0,77.0,151.0,18.0,168.0180263739332
35,35,8850656679.544052,151,81119827.53330208,0.0,21.0,125.0,5.0,208.29975024533778
